id,name,source,pack,category,tags,triangles,vertices,groups,animMode,hasUV,textured,sizeX,sizeY,sizeZ,bytes,file
kaykit/block-bits-1.0/decorative_block_blue,"decorative_block_blue",kaykit,block-bits-1.0,props-environments,"toy",1824,5472,1,whole-model,True,True,2.000,2.000,2.000,142655,kaykit/block-bits-1.0/decorative_block_blue.obj
kaykit/block-bits-1.0/decorative_block_green,"decorative_block_green",kaykit,block-bits-1.0,props-environments,"toy",1824,5472,1,whole-model,True,True,2.000,2.000,2.000,142657,kaykit/block-bits-1.0/decorative_block_green.obj
kaykit/block-bits-1.0/decorative_block_red,"decorative_block_red",kaykit,block-bits-1.0,props-environments,"toy",1824,5472,1,whole-model,True,True,2.000,2.000,2.000,142653,kaykit/block-bits-1.0/decorative_block_red.obj
kaykit/block-bits-1.0/decorative_block_yellow,"decorative_block_yellow",kaykit,block-bits-1.0,props-environments,"toy",1824,5472,1,whole-model,True,True,2.000,2.000,2.000,142659,kaykit/block-bits-1.0/decorative_block_yellow.obj
kaykit/block-bits-1.0/dirt,"dirt",kaykit,block-bits-1.0,props-environments,"toy",1080,3240,1,whole-model,True,True,2.089,2.089,2.089,90763,kaykit/block-bits-1.0/dirt.obj
kaykit/block-bits-1.0/dirt_with_grass,"dirt_with_grass",kaykit,block-bits-1.0,props-environments,"toy",922,2766,1,whole-model,True,True,2.166,2.044,2.166,69785,kaykit/block-bits-1.0/dirt_with_grass.obj
kaykit/block-bits-1.0/dirt_with_snow,"dirt_with_snow",kaykit,block-bits-1.0,props-environments,"toy",1250,3750,1,whole-model,True,True,2.155,2.044,2.155,94205,kaykit/block-bits-1.0/dirt_with_snow.obj
kaykit/block-bits-1.0/dynamite,"dynamite",kaykit,block-bits-1.0,props-environments,"toy",1566,4698,1,whole-model,True,True,2.100,2.145,2.100,113423,kaykit/block-bits-1.0/dynamite.obj
kaykit/block-bits-1.0/gift,"gift",kaykit,block-bits-1.0,props-environments,"holiday toy",678,2034,1,whole-model,True,True,2.100,2.517,2.100,50236,kaykit/block-bits-1.0/gift.obj
kaykit/block-bits-1.0/glass,"glass",kaykit,block-bits-1.0,props-environments,"toy window",216,648,1,whole-model,True,True,2.000,2.000,2.000,15890,kaykit/block-bits-1.0/glass.obj
kaykit/block-bits-1.0/grass,"grass",kaykit,block-bits-1.0,props-environments,"toy tree",520,1560,1,whole-model,True,True,2.166,2.000,2.166,33931,kaykit/block-bits-1.0/grass.obj
kaykit/block-bits-1.0/grass_with_snow,"grass_with_snow",kaykit,block-bits-1.0,props-environments,"toy",848,2544,1,whole-model,True,True,2.155,2.000,2.155,58280,kaykit/block-bits-1.0/grass_with_snow.obj
kaykit/block-bits-1.0/gravel,"gravel",kaykit,block-bits-1.0,props-environments,"rock toy",1080,3240,1,whole-model,True,True,2.089,2.089,2.089,90767,kaykit/block-bits-1.0/gravel.obj
kaykit/block-bits-1.0/gravel_with_grass,"gravel_with_grass",kaykit,block-bits-1.0,props-environments,"toy",922,2766,1,whole-model,True,True,2.166,2.044,2.166,69789,kaykit/block-bits-1.0/gravel_with_grass.obj
kaykit/block-bits-1.0/gravel_with_snow,"gravel_with_snow",kaykit,block-bits-1.0,props-environments,"toy",1250,3750,1,whole-model,True,True,2.155,2.044,2.155,94209,kaykit/block-bits-1.0/gravel_with_snow.obj
kaykit/block-bits-1.0/hay,"hay",kaykit,block-bits-1.0,props-environments,"toy",620,1860,1,whole-model,True,True,2.000,2.093,2.000,43563,kaykit/block-bits-1.0/hay.obj
kaykit/block-bits-1.0/hay_bale,"hay_bale",kaykit,block-bits-1.0,props-environments,"toy",796,2388,1,whole-model,True,True,2.100,2.100,2.100,62314,kaykit/block-bits-1.0/hay_bale.obj
kaykit/block-bits-1.0/lava,"lava",kaykit,block-bits-1.0,props-environments,"toy",2076,6228,1,whole-model,True,True,2.011,2.011,2.011,174342,kaykit/block-bits-1.0/lava.obj
kaykit/block-bits-1.0/melon,"melon",kaykit,block-bits-1.0,props-environments,"toy",936,2808,1,whole-model,True,True,2.000,2.271,2.000,69273,kaykit/block-bits-1.0/melon.obj
kaykit/block-bits-1.0/metal,"metal",kaykit,block-bits-1.0,props-environments,"toy",672,2016,1,whole-model,True,True,2.000,2.000,2.000,43686,kaykit/block-bits-1.0/metal.obj
kaykit/block-bits-1.0/metalframe,"metalframe",kaykit,block-bits-1.0,props-environments,"toy",576,1728,1,whole-model,True,True,2.000,2.000,2.000,38611,kaykit/block-bits-1.0/metalframe.obj
kaykit/block-bits-1.0/pipe,"pipe",kaykit,block-bits-1.0,props-environments,"industrial toy",400,1200,1,whole-model,True,True,2.000,2.000,2.000,27441,kaykit/block-bits-1.0/pipe.obj
kaykit/block-bits-1.0/prototype,"prototype",kaykit,block-bits-1.0,props-environments,"toy",192,576,1,whole-model,True,True,2.000,2.000,2.000,13591,kaykit/block-bits-1.0/prototype.obj
kaykit/block-bits-1.0/sand_A,"sand_A",kaykit,block-bits-1.0,props-environments,"toy",1080,3240,1,whole-model,True,True,2.089,2.089,2.089,90767,kaykit/block-bits-1.0/sand_A.obj
kaykit/block-bits-1.0/sand_B,"sand_B",kaykit,block-bits-1.0,props-environments,"toy",1152,3456,1,whole-model,True,True,2.042,2.000,2.042,86997,kaykit/block-bits-1.0/sand_B.obj
kaykit/block-bits-1.0/sand_with_grass,"sand_with_grass",kaykit,block-bits-1.0,props-environments,"toy",922,2766,1,whole-model,True,True,2.166,2.044,2.166,69785,kaykit/block-bits-1.0/sand_with_grass.obj
kaykit/block-bits-1.0/sand_with_snow,"sand_with_snow",kaykit,block-bits-1.0,props-environments,"toy",1250,3750,1,whole-model,True,True,2.155,2.044,2.155,94205,kaykit/block-bits-1.0/sand_with_snow.obj
kaykit/block-bits-1.0/snow,"snow",kaykit,block-bits-1.0,props-environments,"toy",108,324,1,whole-model,True,True,2.000,2.000,2.000,7388,kaykit/block-bits-1.0/snow.obj
kaykit/block-bits-1.0/stone,"stone",kaykit,block-bits-1.0,props-environments,"rock toy",1248,3744,1,whole-model,True,True,2.020,2.020,2.020,107123,kaykit/block-bits-1.0/stone.obj
kaykit/block-bits-1.0/stone_dark,"stone_dark",kaykit,block-bits-1.0,props-environments,"toy",1296,3888,1,whole-model,True,True,2.050,2.050,2.050,101709,kaykit/block-bits-1.0/stone_dark.obj
kaykit/block-bits-1.0/stone_with_copper,"stone_with_copper",kaykit,block-bits-1.0,props-environments,"toy",1248,3744,1,whole-model,True,True,2.020,2.020,2.020,109216,kaykit/block-bits-1.0/stone_with_copper.obj
kaykit/block-bits-1.0/stone_with_gold,"stone_with_gold",kaykit,block-bits-1.0,props-environments,"toy",1248,3744,1,whole-model,True,True,2.020,2.020,2.020,110099,kaykit/block-bits-1.0/stone_with_gold.obj
kaykit/block-bits-1.0/stone_with_silver,"stone_with_silver",kaykit,block-bits-1.0,props-environments,"toy",1248,3744,1,whole-model,True,True,2.020,2.020,2.020,109873,kaykit/block-bits-1.0/stone_with_silver.obj
kaykit/block-bits-1.0/striped_block_blue,"striped_block_blue",kaykit,block-bits-1.0,props-environments,"toy",156,468,1,whole-model,True,True,2.000,2.000,2.000,10525,kaykit/block-bits-1.0/striped_block_blue.obj
kaykit/block-bits-1.0/striped_block_green,"striped_block_green",kaykit,block-bits-1.0,props-environments,"toy",156,468,1,whole-model,True,True,2.000,2.000,2.000,10527,kaykit/block-bits-1.0/striped_block_green.obj
kaykit/block-bits-1.0/striped_block_red,"striped_block_red",kaykit,block-bits-1.0,props-environments,"toy",156,468,1,whole-model,True,True,2.000,2.000,2.000,10523,kaykit/block-bits-1.0/striped_block_red.obj
kaykit/block-bits-1.0/striped_block_yellow,"striped_block_yellow",kaykit,block-bits-1.0,props-environments,"toy",156,468,1,whole-model,True,True,2.000,2.000,2.000,10529,kaykit/block-bits-1.0/striped_block_yellow.obj
kaykit/block-bits-1.0/trashcan,"trashcan",kaykit,block-bits-1.0,props-environments,"toy",746,2238,1,whole-model,True,True,2.000,2.338,2.000,57363,kaykit/block-bits-1.0/trashcan.obj
kaykit/block-bits-1.0/tree,"tree",kaykit,block-bits-1.0,props-environments,"toy tree",584,1752,1,whole-model,True,True,2.166,2.000,2.166,38019,kaykit/block-bits-1.0/tree.obj
kaykit/block-bits-1.0/tree_with_snow,"tree_with_snow",kaykit,block-bits-1.0,props-environments,"toy",848,2544,1,whole-model,True,True,2.155,2.000,2.155,58390,kaykit/block-bits-1.0/tree_with_snow.obj
kaykit/block-bits-1.0/vault,"vault",kaykit,block-bits-1.0,props-environments,"toy",1572,4716,1,whole-model,True,True,2.125,2.000,2.132,109357,kaykit/block-bits-1.0/vault.obj
kaykit/block-bits-1.0/water,"water",kaykit,block-bits-1.0,props-environments,"toy water",750,2250,1,whole-model,True,True,2.000,2.225,2.000,47792,kaykit/block-bits-1.0/water.obj
kaykit/block-bits-1.0/wood,"wood",kaykit,block-bits-1.0,props-environments,"toy",1168,3504,1,whole-model,True,True,2.000,2.000,2.000,95119,kaykit/block-bits-1.0/wood.obj
kaykit/board-game-bits-1.0/D20_blue,"D20_blue",kaykit,board-game-bits-1.0,props-environments,"toy",260,780,1,whole-model,True,True,0.840,0.965,0.876,17208,kaykit/board-game-bits-1.0/D20_blue.obj
kaykit/board-game-bits-1.0/D20_green,"D20_green",kaykit,board-game-bits-1.0,props-environments,"toy",260,780,1,whole-model,True,True,0.840,0.965,0.876,17211,kaykit/board-game-bits-1.0/D20_green.obj
kaykit/board-game-bits-1.0/D20_red,"D20_red",kaykit,board-game-bits-1.0,props-environments,"toy",260,780,1,whole-model,True,True,0.840,0.965,0.876,17205,kaykit/board-game-bits-1.0/D20_red.obj
kaykit/board-game-bits-1.0/D20_yellow,"D20_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",260,780,1,whole-model,True,True,0.840,0.965,0.876,17214,kaykit/board-game-bits-1.0/D20_yellow.obj
kaykit/board-game-bits-1.0/D4_blue,"D4_blue",kaykit,board-game-bits-1.0,props-environments,"toy",52,156,1,whole-model,True,True,0.959,0.797,0.840,3998,kaykit/board-game-bits-1.0/D4_blue.obj
kaykit/board-game-bits-1.0/D4_green,"D4_green",kaykit,board-game-bits-1.0,props-environments,"toy",52,156,1,whole-model,True,True,0.959,0.797,0.840,4001,kaykit/board-game-bits-1.0/D4_green.obj
kaykit/board-game-bits-1.0/D4_red,"D4_red",kaykit,board-game-bits-1.0,props-environments,"toy",52,156,1,whole-model,True,True,0.959,0.797,0.840,3995,kaykit/board-game-bits-1.0/D4_red.obj
kaykit/board-game-bits-1.0/D4_yellow,"D4_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",52,156,1,whole-model,True,True,0.959,0.797,0.840,4004,kaykit/board-game-bits-1.0/D4_yellow.obj
kaykit/board-game-bits-1.0/D6_A,"D6_A",kaykit,board-game-bits-1.0,props-environments,"toy",662,1986,1,whole-model,True,True,0.750,0.750,0.750,46273,kaykit/board-game-bits-1.0/D6_A.obj
kaykit/board-game-bits-1.0/D6_A_blue,"D6_A_blue",kaykit,board-game-bits-1.0,props-environments,"toy",662,1986,1,whole-model,True,True,0.750,0.750,0.750,46283,kaykit/board-game-bits-1.0/D6_A_blue.obj
kaykit/board-game-bits-1.0/D6_A_green,"D6_A_green",kaykit,board-game-bits-1.0,props-environments,"toy",662,1986,1,whole-model,True,True,0.750,0.750,0.750,46285,kaykit/board-game-bits-1.0/D6_A_green.obj
kaykit/board-game-bits-1.0/D6_A_red,"D6_A_red",kaykit,board-game-bits-1.0,props-environments,"toy",662,1986,1,whole-model,True,True,0.750,0.750,0.750,46281,kaykit/board-game-bits-1.0/D6_A_red.obj
kaykit/board-game-bits-1.0/D6_A_yellow,"D6_A_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",662,1986,1,whole-model,True,True,0.750,0.750,0.750,46287,kaykit/board-game-bits-1.0/D6_A_yellow.obj
kaykit/board-game-bits-1.0/D6_B,"D6_B",kaykit,board-game-bits-1.0,props-environments,"toy",740,2220,1,whole-model,True,True,0.750,0.750,0.750,50321,kaykit/board-game-bits-1.0/D6_B.obj
kaykit/board-game-bits-1.0/D6_B_blue,"D6_B_blue",kaykit,board-game-bits-1.0,props-environments,"toy",740,2220,1,whole-model,True,True,0.750,0.750,0.750,50331,kaykit/board-game-bits-1.0/D6_B_blue.obj
kaykit/board-game-bits-1.0/D6_B_green,"D6_B_green",kaykit,board-game-bits-1.0,props-environments,"toy",740,2220,1,whole-model,True,True,0.750,0.750,0.750,50333,kaykit/board-game-bits-1.0/D6_B_green.obj
kaykit/board-game-bits-1.0/D6_B_red,"D6_B_red",kaykit,board-game-bits-1.0,props-environments,"toy",740,2220,1,whole-model,True,True,0.750,0.750,0.750,50329,kaykit/board-game-bits-1.0/D6_B_red.obj
kaykit/board-game-bits-1.0/D6_B_yellow,"D6_B_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",740,2220,1,whole-model,True,True,0.750,0.750,0.750,50335,kaykit/board-game-bits-1.0/D6_B_yellow.obj
kaykit/board-game-bits-1.0/D6_C_blue,"D6_C_blue",kaykit,board-game-bits-1.0,props-environments,"toy",188,564,1,whole-model,True,True,0.750,0.750,0.750,11665,kaykit/board-game-bits-1.0/D6_C_blue.obj
kaykit/board-game-bits-1.0/D6_C_green,"D6_C_green",kaykit,board-game-bits-1.0,props-environments,"toy",188,564,1,whole-model,True,True,0.750,0.750,0.750,11668,kaykit/board-game-bits-1.0/D6_C_green.obj
kaykit/board-game-bits-1.0/D6_C_red,"D6_C_red",kaykit,board-game-bits-1.0,props-environments,"toy",188,564,1,whole-model,True,True,0.750,0.750,0.750,11662,kaykit/board-game-bits-1.0/D6_C_red.obj
kaykit/board-game-bits-1.0/D6_C_yellow,"D6_C_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",188,564,1,whole-model,True,True,0.750,0.750,0.750,11671,kaykit/board-game-bits-1.0/D6_C_yellow.obj
kaykit/board-game-bits-1.0/D8_blue,"D8_blue",kaykit,board-game-bits-1.0,props-environments,"toy",104,312,1,whole-model,True,True,1.000,1.000,1.000,6750,kaykit/board-game-bits-1.0/D8_blue.obj
kaykit/board-game-bits-1.0/D8_green,"D8_green",kaykit,board-game-bits-1.0,props-environments,"toy",104,312,1,whole-model,True,True,1.000,1.000,1.000,6753,kaykit/board-game-bits-1.0/D8_green.obj
kaykit/board-game-bits-1.0/D8_red,"D8_red",kaykit,board-game-bits-1.0,props-environments,"toy",104,312,1,whole-model,True,True,1.000,1.000,1.000,6747,kaykit/board-game-bits-1.0/D8_red.obj
kaykit/board-game-bits-1.0/D8_yellow,"D8_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",104,312,1,whole-model,True,True,1.000,1.000,1.000,6756,kaykit/board-game-bits-1.0/D8_yellow.obj
kaykit/board-game-bits-1.0/board_A,"board_A",kaykit,board-game-bits-1.0,props-environments,"toy",384,1152,1,whole-model,True,True,10.000,0.300,10.000,22874,kaykit/board-game-bits-1.0/board_A.obj
kaykit/board-game-bits-1.0/board_B,"board_B",kaykit,board-game-bits-1.0,props-environments,"toy",384,1152,1,whole-model,True,True,10.000,0.300,10.000,22874,kaykit/board-game-bits-1.0/board_B.obj
kaykit/board-game-bits-1.0/building_blue,"building_blue",kaykit,board-game-bits-1.0,props-environments,"toy",128,384,1,whole-model,True,True,0.985,1.000,1.000,7988,kaykit/board-game-bits-1.0/building_blue.obj
kaykit/board-game-bits-1.0/building_green,"building_green",kaykit,board-game-bits-1.0,props-environments,"toy",128,384,1,whole-model,True,True,0.985,1.000,1.000,7990,kaykit/board-game-bits-1.0/building_green.obj
kaykit/board-game-bits-1.0/building_red,"building_red",kaykit,board-game-bits-1.0,props-environments,"toy",128,384,1,whole-model,True,True,0.985,1.000,1.000,7986,kaykit/board-game-bits-1.0/building_red.obj
kaykit/board-game-bits-1.0/building_yellow,"building_yellow",kaykit,board-game-bits-1.0,props-environments,"toy",128,384,1,whole-model,True,True,0.985,1.000,1.000,7992,kaykit/board-game-bits-1.0/building_yellow.obj
kaykit/board-game-bits-1.0/card_base,"card_base",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4878,kaykit/board-game-bits-1.0/card_base.obj
kaykit/board-game-bits-1.0/card_clubs_ace,"card_clubs_ace",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4892,kaykit/board-game-bits-1.0/card_clubs_ace.obj
kaykit/board-game-bits-1.0/card_clubs_eight,"card_clubs_eight",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_clubs_eight.obj
kaykit/board-game-bits-1.0/card_clubs_five,"card_clubs_five",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_clubs_five.obj
kaykit/board-game-bits-1.0/card_clubs_four,"card_clubs_four",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_clubs_four.obj
kaykit/board-game-bits-1.0/card_clubs_jack,"card_clubs_jack",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_clubs_jack.obj
kaykit/board-game-bits-1.0/card_clubs_king,"card_clubs_king",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_clubs_king.obj
kaykit/board-game-bits-1.0/card_clubs_nine,"card_clubs_nine",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_clubs_nine.obj
kaykit/board-game-bits-1.0/card_clubs_queen,"card_clubs_queen",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_clubs_queen.obj
kaykit/board-game-bits-1.0/card_clubs_seven,"card_clubs_seven",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_clubs_seven.obj
kaykit/board-game-bits-1.0/card_clubs_six,"card_clubs_six",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4892,kaykit/board-game-bits-1.0/card_clubs_six.obj
kaykit/board-game-bits-1.0/card_clubs_ten,"card_clubs_ten",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4892,kaykit/board-game-bits-1.0/card_clubs_ten.obj
kaykit/board-game-bits-1.0/card_clubs_three,"card_clubs_three",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_clubs_three.obj
kaykit/board-game-bits-1.0/card_clubs_two,"card_clubs_two",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4892,kaykit/board-game-bits-1.0/card_clubs_two.obj
kaykit/board-game-bits-1.0/card_diamonds_ace,"card_diamonds_ace",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_diamonds_ace.obj
kaykit/board-game-bits-1.0/card_diamonds_eight,"card_diamonds_eight",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4907,kaykit/board-game-bits-1.0/card_diamonds_eight.obj
kaykit/board-game-bits-1.0/card_diamonds_five,"card_diamonds_five",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4904,kaykit/board-game-bits-1.0/card_diamonds_five.obj
kaykit/board-game-bits-1.0/card_diamonds_four,"card_diamonds_four",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4904,kaykit/board-game-bits-1.0/card_diamonds_four.obj
kaykit/board-game-bits-1.0/card_diamonds_jack,"card_diamonds_jack",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4904,kaykit/board-game-bits-1.0/card_diamonds_jack.obj
kaykit/board-game-bits-1.0/card_diamonds_king,"card_diamonds_king",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4904,kaykit/board-game-bits-1.0/card_diamonds_king.obj
kaykit/board-game-bits-1.0/card_diamonds_nine,"card_diamonds_nine",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4904,kaykit/board-game-bits-1.0/card_diamonds_nine.obj
kaykit/board-game-bits-1.0/card_diamonds_queen,"card_diamonds_queen",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4907,kaykit/board-game-bits-1.0/card_diamonds_queen.obj
kaykit/board-game-bits-1.0/card_diamonds_seven,"card_diamonds_seven",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4907,kaykit/board-game-bits-1.0/card_diamonds_seven.obj
kaykit/board-game-bits-1.0/card_diamonds_six,"card_diamonds_six",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_diamonds_six.obj
kaykit/board-game-bits-1.0/card_diamonds_ten,"card_diamonds_ten",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_diamonds_ten.obj
kaykit/board-game-bits-1.0/card_diamonds_three,"card_diamonds_three",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4907,kaykit/board-game-bits-1.0/card_diamonds_three.obj
kaykit/board-game-bits-1.0/card_diamonds_two,"card_diamonds_two",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_diamonds_two.obj
kaykit/board-game-bits-1.0/card_hearts_ace,"card_hearts_ace",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_hearts_ace.obj
kaykit/board-game-bits-1.0/card_hearts_eight,"card_hearts_eight",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_hearts_eight.obj
kaykit/board-game-bits-1.0/card_hearts_five,"card_hearts_five",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_hearts_five.obj
kaykit/board-game-bits-1.0/card_hearts_four,"card_hearts_four",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_hearts_four.obj
kaykit/board-game-bits-1.0/card_hearts_jack,"card_hearts_jack",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_hearts_jack.obj
kaykit/board-game-bits-1.0/card_hearts_king,"card_hearts_king",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_hearts_king.obj
kaykit/board-game-bits-1.0/card_hearts_nine,"card_hearts_nine",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4898,kaykit/board-game-bits-1.0/card_hearts_nine.obj
kaykit/board-game-bits-1.0/card_hearts_queen,"card_hearts_queen",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_hearts_queen.obj
kaykit/board-game-bits-1.0/card_hearts_seven,"card_hearts_seven",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4901,kaykit/board-game-bits-1.0/card_hearts_seven.obj
kaykit/board-game-bits-1.0/card_hearts_six,"card_hearts_six",kaykit,board-game-bits-1.0,props-environments,"toy",76,228,2,whole-model,True,True,4.315,6.000,0.050,4895,kaykit/board-game-bits-1.0/card_hearts_six.obj
